,frame#,pts
370,371,"[[608.        326.        -66.81633  ]
 [612.        356.        -77.02011  ]
 [616.        384.        -85.76125  ]
 [622.        406.        -89.53619  ]
 [634.        436.        -82.9763   ]
 [648.        462.        -64.82923  ]
 [670.        480.        -38.909153 ]
 [696.        498.        -14.139642 ]
 [728.        508.         -5.7862716]
 [762.        498.        -19.081099 ]
 [786.        484.        -45.671772 ]
 [806.        464.        -73.312004 ]
 [820.        440.        -92.734764 ]
 [830.        410.        -98.812126 ]
 [834.        388.        -94.87335  ]
 [842.        358.        -86.33253  ]
 [846.        330.        -75.91821  ]
 [638.        326.         44.170685 ]
 [652.        322.         64.04978  ]
 [674.        318.         75.41783  ]
 [688.        322.         80.45004  ]
 [702.        326.         80.86327  ]
 [766.        326.         79.57062  ]
 [780.        322.         78.21803  ]
 [798.        318.         71.88254  ]
 [816.        318.         59.51587  ]
 [830.        326.         38.368946 ]
 [732.        362.         67.17259  ]
 [732.        388.         70.592674 ]
 [732.        406.         77.90867  ]
 [732.        420.         74.462975 ]
 [714.        424.         46.111534 ]
 [722.        428.         49.465893 ]
 [732.        432.         50.633907 ]
 [744.        428.         48.03054  ]
 [750.        424.         43.795265 ]
 [662.        358.         45.958504 ]
 [674.        358.         59.436966 ]
 [688.        358.         59.623604 ]
 [700.        358.         52.149147 ]
 [688.        362.         54.906174 ]
 [674.        362.         52.416145 ]
 [766.        358.         51.483406 ]
 [780.        356.         57.96592  ]
 [794.        358.         56.68278  ]
 [806.        358.         41.94298  ]
 [794.        362.         49.28134  ]
 [780.        362.         53.018585 ]
 [700.        462.         28.76784  ]
 [710.        454.         42.826176 ]
 [724.        450.         50.74995  ]
 [732.        450.         50.807507 ]
 [740.        450.         49.544415 ]
 [754.        454.         38.501244 ]
 [768.        458.         21.742382 ]
 [754.        468.         34.100582 ]
 [744.        472.         38.98706  ]
 [732.        476.         40.940655 ]
 [722.        472.         41.059563 ]
 [710.        468.         38.083763 ]
 [702.        458.         29.597107 ]
 [724.        458.         42.240097 ]
 [732.        458.         43.46611  ]
 [744.        458.         40.301785 ]
 [766.        458.         22.847391 ]
 [744.        458.         42.485336 ]
 [732.        462.         44.177998 ]
 [722.        458.         44.288025 ]]"
371,372,"[[612.        326.        -70.428665 ]
 [612.        356.        -78.34351  ]
 [616.        380.        -85.06576  ]
 [622.        406.        -86.87873  ]
 [634.        436.        -78.16302  ]
 [648.        462.        -58.194042 ]
 [674.        480.        -31.610655 ]
 [696.        494.         -6.2192955]
 [732.        504.          2.909515 ]
 [762.        494.        -10.692028 ]
 [786.        480.        -37.53996  ]
 [802.        462.        -65.61213  ]
 [820.        436.        -86.574585 ]
 [828.        410.        -94.654274 ]
 [834.        384.        -92.60039  ]
 [842.        356.        -86.04702  ]
 [846.        326.        -77.980675 ]
 [638.        322.         39.685764 ]
 [652.        312.         58.845577 ]
 [674.        312.         69.741425 ]
 [688.        314.         74.6744   ]
 [702.        318.         75.20411  ]
 [766.        318.         73.92234  ]
 [780.        314.         72.55392  ]
 [798.        312.         66.51958  ]
 [816.        312.         54.91359  ]
 [828.        318.         34.683907 ]
 [732.        356.         62.95228  ]
 [732.        378.         67.44777  ]
 [732.        396.         76.05794  ]
 [732.        410.         73.67307  ]
 [714.        418.         45.89828  ]
 [722.        420.         49.2906   ]
 [732.        420.         50.523666 ]
 [744.        420.         47.868282 ]
 [750.        418.         43.738834 ]
 [662.        348.         43.359993 ]
 [674.        352.         56.060863 ]
 [688.        352.         56.178883 ]
 [700.        352.         48.893135 ]
 [688.        356.         52.33344  ]
 [674.        356.         50.14389  ]
 [766.        352.         48.542725 ]
 [780.        348.         54.820995 ]
 [794.        348.         53.53455  ]
 [802.        348.         39.645176 ]
 [790.        356.         47.255436 ]
 [776.        356.         50.702255 ]
 [700.        454.         29.996569 ]
 [710.        446.         43.25196  ]
 [724.        442.         50.83783  ]
 [732.        442.         51.044373 ]
 [740.        442.         49.74327  ]
 [754.        446.         39.263405 ]
 [766.        454.         23.625063 ]
 [754.        462.         36.155933 ]
 [744.        464.         41.434826 ]
 [732.        464.         43.454525 ]
 [722.        464.         43.50113  ]
 [710.        462.         39.9454   ]
 [702.        450.         30.486246 ]
 [722.        450.         43.024925 ]
 [732.        450.         44.344353 ]
 [744.        450.         41.290462 ]
 [762.        450.         24.389402 ]
 [744.        450.         42.914837 ]
 [732.        450.         44.585506 ]
 [722.        450.         44.59237  ]]"
372,373,"[[ 592.        326.        -66.6846  ]
 [ 592.        358.        -72.05129 ]
 [ 598.        384.        -76.90994 ]
 [ 606.        410.        -77.38083 ]
 [ 620.        436.        -67.70353 ]
 [ 638.        462.        -47.134277]
 [ 664.        476.        -20.12064 ]
 [ 694.        490.          4.166505]
 [ 730.        502.          9.910703]
 [ 762.        490.         -7.425873]
 [ 784.        472.        -37.779522]
 [ 800.        458.        -69.71736 ]
 [ 814.        432.        -94.6205  ]
 [ 822.        402.       -106.199295]
 [ 826.        378.       -107.761986]
 [ 832.        348.       -104.997246]
 [ 836.        314.       -100.48129 ]
 [ 636.        314.         38.88124 ]
 [ 650.        308.         56.846554]
 [ 672.        304.         66.54213 ]
 [ 690.        308.         70.57632 ]
 [ 704.        312.         70.61245 ]
 [ 766.        308.         62.113255]
 [ 782.        304.         57.919987]
 [ 796.        300.         48.939228]
 [ 814.        304.         34.45462 ]
 [ 826.        312.         12.400633]
 [ 734.        348.         60.719868]
 [ 734.        366.         68.05213 ]
 [ 738.        388.         78.43168 ]
 [ 738.        402.         77.71146 ]
 [ 712.        410.         49.59151 ]
 [ 722.        414.         53.374577]
 [ 734.        414.         54.296535]
 [ 744.        414.         50.129623]
 [ 752.        410.         44.27153 ]
 [ 656.        344.         42.240738]
 [ 672.        340.         54.030804]
 [ 686.        340.         52.402615]
 [ 698.        344.         44.518402]
 [ 686.        348.         49.35643 ]
 [ 672.        348.         48.471188]
 [ 762.        344.         36.635017]
 [ 778.        340.         40.375393]
 [ 792.        340.         37.262623]
 [ 804.        340.         21.808817]
 [ 792.        348.         31.590391]
 [ 778.        348.         37.30798 ]
 [ 698.        446.         36.34262 ]
 [ 708.        440.         49.60168 ]
 [ 726.        436.         56.243477]
 [ 734.        436.         56.006775]
 [ 744.        432.         54.025845]
 [ 760.        440.         43.17556 ]
 [ 766.        442.         25.832695]
 [ 756.        454.         38.956776]
 [ 748.        458.         44.873177]
 [ 734.        462.         47.77778 ]
 [ 722.        458.         48.79061 ]
 [ 712.        454.         45.825813]
 [ 700.        446.         36.49994 ]
 [ 722.        442.         48.833035]
 [ 734.        442.         49.64777 ]
 [ 744.        442.         46.119473]
 [ 766.        442.         27.264091]
 [ 744.        442.         46.483364]
 [ 734.        442.         48.663246]
 [ 722.        442.         49.489388]]"
373,374,"[[612.        318.        -76.69407  ]
 [612.        348.        -80.24748  ]
 [618.        378.        -83.44557  ]
 [622.        402.        -82.586296 ]
 [634.        428.        -71.57479  ]
 [652.        454.        -49.833763 ]
 [670.        472.        -22.872627 ]
 [696.        486.          1.8255714]
 [728.        494.         10.214354 ]
 [762.        486.         -4.0914087]
 [784.        468.        -31.57501  ]
 [802.        454.        -60.71106  ]
 [816.        432.        -83.969795 ]
 [828.        402.        -95.58721  ]
 [830.        378.        -97.42492  ]
 [838.        348.        -95.76073  ]
 [838.        318.        -92.96326  ]
 [640.        308.         25.164701 ]
 [652.        296.         42.155994 ]
 [670.        296.         52.253395 ]
 [688.        296.         57.3169   ]
 [702.        300.         58.492317 ]
 [762.        300.         54.636433 ]
 [776.        296.         51.553486 ]
 [790.        294.         44.070454 ]
 [808.        296.         31.666283 ]
 [824.        304.         12.63321  ]
 [732.        336.         50.719414 ]
 [732.        358.         58.764538 ]
 [732.        378.         70.26394  ]
 [732.        392.         70.68729  ]
 [714.        398.         44.76645  ]
 [722.        402.         48.75127  ]
 [732.        402.         50.26206  ]
 [744.        402.         46.820625 ]
 [750.        398.         41.66736  ]
 [662.        334.         31.847912 ]
 [674.        334.         43.209705 ]
 [688.        334.         42.5279   ]
 [700.        336.         36.17824  ]
 [688.        340.         40.35928  ]
 [674.        340.         38.861988 ]
 [762.        336.         33.277    ]
 [776.        334.         37.3455   ]
 [790.        334.         35.299446 ]
 [798.        334.         21.75532  ]
 [786.        340.         30.624588 ]
 [772.        340.         34.938168 ]
 [700.        440.         34.28376  ]
 [710.        432.         47.356934 ]
 [724.        424.         53.65291  ]
 [732.        424.         53.895782 ]
 [740.        424.         52.013092 ]
 [754.        428.         41.96619  ]
 [766.        436.         26.414268 ]
 [754.        446.         38.892143 ]
 [744.        450.         44.77711  ]
 [732.        450.         47.39396  ]
 [722.        450.         47.827213 ]
 [710.        446.         44.35756  ]
 [702.        440.         34.482796 ]
 [722.        436.         46.88028  ]
 [732.        436.         48.08845  ]
 [744.        436.         44.583714 ]
 [762.        436.         27.052244 ]
 [744.        436.         44.54369  ]
 [732.        436.         46.654495 ]
 [722.        436.         47.10999  ]]"
374,375,"[[608.       314.       -75.26216 ]
 [612.       348.       -78.96501 ]
 [618.       374.       -81.91958 ]
 [622.       398.       -80.42196 ]
 [634.       428.       -68.56369 ]
 [652.       450.       -45.616753]
 [674.       468.       -17.004385]
 [696.       482.         8.598792]
 [728.       490.        17.434208]
 [762.       480.         2.634663]
 [784.       464.       -25.881977]
 [802.       450.       -56.551365]
 [816.       428.       -80.722916]
 [828.       398.       -92.595924]
 [830.       374.       -94.2906  ]
 [834.       348.       -92.198975]
 [838.       314.       -88.641304]
 [638.       300.        28.731264]
 [652.       290.        46.48589 ]
 [670.       286.        57.227398]
 [688.       290.        62.69894 ]
 [700.       292.        64.26866 ]
 [762.       292.        61.683025]
 [776.       290.        58.742836]
 [790.       286.        51.368176]
 [808.       290.        39.002583]
 [820.       296.        19.455826]
 [732.       330.        58.358135]
 [732.       348.        66.53524 ]
 [732.       366.        78.19414 ]
 [732.       380.        78.41706 ]
 [710.       392.        52.36398 ]
 [722.       396.        56.35958 ]
 [732.       396.        58.00218 ]
 [744.       396.        54.377487]
 [750.       392.        49.124355]
 [662.       326.        35.697235]
 [674.       326.        47.566833]
 [684.       326.        47.498928]
 [700.       330.        41.611378]
 [688.       334.        45.375175]
 [674.       334.        43.147053]
 [762.       330.        39.68906 ]
 [772.       326.        43.926117]
 [786.       326.        42.299175]
 [798.       326.        28.659798]
 [786.       334.        37.341476]
 [772.       334.        41.52841 ]
 [696.       432.        44.37752 ]
 [706.       424.        57.071285]
 [724.       418.        62.69476 ]
 [732.       418.        62.908085]
 [740.       418.        60.941433]
 [754.       420.        50.69287 ]
 [766.       428.        34.55961 ]
 [754.       440.        47.13954 ]
 [744.       442.        52.54944 ]
 [732.       442.        54.96231 ]
 [722.       442.        55.620014]
 [710.       440.        53.067516]
 [700.       432.        45.05112 ]
 [722.       428.        56.214996]
 [732.       428.        57.018295]
 [744.       428.        53.335297]
 [762.       428.        35.53507 ]
 [744.       428.        53.274235]
 [732.       428.        55.194103]
 [722.       428.        56.08553 ]]"
375,376,"[[608.        316.        -72.02922  ]
 [612.        346.        -73.6687   ]
 [614.        374.        -75.667    ]
 [620.        398.        -73.98815  ]
 [632.        424.        -63.47131  ]
 [648.        448.        -42.264587 ]
 [670.        468.        -14.98902  ]
 [696.        480.          8.8258705]
 [730.        486.         16.062677 ]
 [760.        480.          3.1701133]
 [784.        464.        -24.13468  ]
 [800.        448.        -53.793343 ]
 [814.        424.        -77.03543  ]
 [824.        398.        -88.99968  ]
 [826.        370.        -92.34527  ]
 [832.        342.        -92.31214  ]
 [832.        312.        -91.88933  ]
 [638.        298.         25.510288 ]
 [654.        286.         43.506966 ]
 [670.        282.         54.283443 ]
 [688.        282.         59.79228  ]
 [702.        286.         61.46148  ]
 [760.        286.         56.11279  ]
 [772.        282.         51.85639  ]
 [788.        280.         43.298317 ]
 [806.        282.         29.372263 ]
 [818.        294.          8.965936 ]
 [730.        322.         58.37678  ]
 [730.        340.         68.09998  ]
 [732.        358.         79.80757  ]
 [732.        374.         80.976585 ]
 [712.        386.         52.40117  ]
 [720.        388.         57.730785 ]
 [730.        388.         59.842216 ]
 [742.        386.         56.364117 ]
 [748.        386.         49.992542 ]
 [660.        322.         31.512932 ]
 [672.        322.         43.785595 ]
 [688.        322.         42.70936  ]
 [700.        324.         36.694218 ]
 [688.        328.         40.663506 ]
 [672.        328.         38.64005  ]
 [760.        322.         31.79299  ]
 [772.        318.         35.08008  ]
 [784.        322.         32.823593 ]
 [796.        322.         18.355057 ]
 [784.        324.         27.675354 ]
 [770.        328.         33.023647 ]
 [696.        424.         40.848637 ]
 [708.        416.         55.661488 ]
 [724.        412.         62.860783 ]
 [730.        412.         63.442894 ]
 [738.        410.         62.196087 ]
 [754.        416.         53.932247 ]
 [766.        424.         37.917015 ]
 [754.        430.         49.522728 ]
 [742.        436.         53.754528 ]
 [730.        436.         55.265305 ]
 [718.        436.         55.18295  ]
 [708.        430.         51.780407 ]
 [700.        424.         41.923016 ]
 [720.        422.         54.887497 ]
 [730.        422.         57.039772 ]
 [742.        422.         54.358086 ]
 [762.        424.         39.712482 ]
 [742.        424.         54.836155 ]
 [730.        424.         55.794537 ]
 [720.        424.         55.67726  ]]"
376,377,"[[ 592.         314.         -64.90102  ]
 [ 594.         348.         -65.91112  ]
 [ 598.         376.         -66.87595  ]
 [ 606.         398.         -64.31659  ]
 [ 620.         424.         -51.945114 ]
 [ 642.         446.         -30.171238 ]
 [ 664.         462.          -3.92476  ]
 [ 694.         472.          19.115461 ]
 [ 726.         480.          25.111975 ]
 [ 760.         472.           6.9025345]
 [ 782.         462.         -23.714293 ]
 [ 796.         446.         -55.920525 ]
 [ 810.         420.         -82.79916  ]
 [ 818.         396.         -97.68557  ]
 [ 822.         370.        -102.38462  ]
 [ 826.         340.        -103.44912  ]
 [ 828.         308.        -103.51362  ]
 [ 632.         290.          31.743553 ]
 [ 650.         278.          46.20617  ]
 [ 668.         274.          54.11136  ]
 [ 686.         278.          57.6207   ]
 [ 700.         278.          57.612705 ]
 [ 760.         278.          48.166317 ]
 [ 774.         274.          43.475597 ]
 [ 788.         274.          34.52529  ]
 [ 806.         278.          21.052046 ]
 [ 818.         286.           1.8539709]
 [ 730.         312.          50.39371  ]
 [ 730.         334.          59.90403  ]
 [ 734.         348.          72.94372  ]
 [ 734.         362.          74.5465   ]
 [ 708.         376.          51.20633  ]
 [ 720.         376.          54.541775 ]
 [ 730.         380.          55.537113 ]
 [ 742.         376.          51.32863  ]
 [ 748.         376.          45.64936  ]
 [ 656.         314.          38.395466 ]
 [ 672.         314.          48.195004 ]
 [ 682.         312.          46.23413  ]
 [ 698.         314.          39.335533 ]
 [ 686.         318.          44.982063 ]
 [ 672.         318.          44.75851  ]
 [ 760.         314.          30.216316 ]
 [ 770.         312.          32.567696 ]
 [ 784.         312.          29.389406 ]
 [ 796.         312.          15.695077 ]
 [ 784.         318.          25.937998 ]
 [ 770.         318.          31.339785 ]
 [ 694.         418.          42.503464 ]
 [ 708.         410.          54.59254  ]
 [ 722.         402.          60.868633 ]
 [ 730.         402.          61.138065 ]
 [ 742.         402.          58.936127 ]
 [ 756.         410.          49.441795 ]
 [ 762.         418.          33.75778  ]
 [ 752.         424.          46.945484 ]
 [ 744.         428.          53.315998 ]
 [ 734.         428.          56.04953  ]
 [ 720.         428.          56.545383 ]
 [ 708.         424.          52.636192 ]
 [ 698.         418.          42.31028  ]
 [ 720.         414.          54.682983 ]
 [ 730.         414.          55.99798  ]
 [ 742.         414.          52.761955 ]
 [ 762.         414.          34.99699  ]
 [ 742.         414.          52.44915  ]
 [ 730.         414.          54.38724  ]
 [ 720.         414.          54.56061  ]]"
377,378,"[[ 592.         314.         -71.01273  ]
 [ 594.         348.         -70.18773  ]
 [ 602.         376.         -69.666405 ]
 [ 610.         398.         -65.73858  ]
 [ 620.         424.         -52.244625 ]
 [ 642.         446.         -29.053268 ]
 [ 664.         458.          -1.2348378]
 [ 694.         468.          22.300468 ]
 [ 730.         476.          27.776886 ]
 [ 760.         468.          10.238961 ]
 [ 782.         454.         -20.773794 ]
 [ 796.         442.         -54.26109  ]
 [ 810.         420.         -82.21524  ]
 [ 818.         392.         -98.21566  ]
 [ 822.         366.        -104.421875 ]
 [ 826.         336.        -107.22063  ]
 [ 826.         304.        -109.26951  ]
 [ 632.         286.          21.290222 ]
 [ 650.         274.          35.800186 ]
 [ 668.         272.          44.16686  ]
 [ 682.         272.          48.37889  ]
 [ 700.         274.          49.498337 ]
 [ 756.         272.          39.867542 ]
 [ 770.         268.          34.1043   ]
 [ 788.         268.          24.335115 ]
 [ 804.         272.          10.409509 ]
 [ 814.         282.          -8.751978 ]
 [ 730.         304.          47.623245 ]
 [ 730.         322.          59.584175 ]
 [ 734.         340.          73.49571  ]
 [ 730.         356.          76.452614 ]
 [ 708.         370.          51.49087  ]
 [ 720.         374.          56.010426 ]
 [ 730.         374.          57.467613 ]
 [ 742.         370.          52.782875 ]
 [ 748.         370.          46.028187 ]
 [ 656.         312.          28.644957 ]
 [ 668.         308.          38.23196  ]
 [ 682.         308.          36.168022 ]
 [ 694.         312.          29.98136  ]
 [ 686.         314.          35.443665 ]
 [ 668.         314.          35.051117 ]
 [ 756.         308.          20.779406 ]
 [ 770.         304.          22.234835 ]
 [ 784.         304.          19.000635 ]
 [ 792.         308.           5.504659 ]
 [ 784.         312.          15.836108 ]
 [ 770.         312.          21.582571 ]
 [ 694.         410.          48.088154 ]
 [ 708.         402.          59.02021  ]
 [ 722.         396.          63.594707 ]
 [ 730.         396.          63.67245  ]
 [ 738.         396.          61.538216 ]
 [ 756.         398.          53.27223  ]
 [ 762.         410.          38.457283 ]
 [ 752.         414.          52.22051  ]
 [ 744.         420.          58.16091  ]
 [ 730.         420.          60.87365  ]
 [ 720.         420.          61.639763 ]
 [ 708.         418.          58.462486 ]
 [ 698.         410.          48.36792  ]
 [ 720.         406.          58.095825 ]
 [ 730.         406.          58.983517 ]
 [ 742.         406.          55.867165 ]
 [ 760.         410.          40.15365  ]
 [ 742.         406.          57.01453  ]
 [ 730.         406.          58.730133 ]
 [ 720.         406.          59.526394 ]]"
378,379,"[[608.        308.        -75.69694  ]
 [610.        338.        -74.016136 ]
 [618.        364.        -72.99469  ]
 [624.        390.        -68.58367  ]
 [632.        416.        -55.249187 ]
 [650.        440.        -31.642622 ]
 [672.        452.         -3.2107577]
 [696.        460.         21.17968  ]
 [730.        466.         29.089027 ]
 [760.        458.         15.785624 ]
 [784.        448.        -11.979005 ]
 [800.        436.        -41.889057 ]
 [814.        416.        -66.54059  ]
 [822.        388.        -81.08742  ]
 [824.        364.        -87.21423  ]
 [830.        336.        -90.45611  ]
 [830.        306.        -93.537094 ]
 [638.        282.         14.515034 ]
 [650.        268.         30.271364 ]
 [668.        266.         40.270714 ]
 [684.        266.         45.86929  ]
 [700.        268.         48.092785 ]
 [754.        266.         42.600914 ]
 [770.        262.         37.990025 ]
 [784.        262.         29.61889  ]
 [800.        266.         16.89717  ]
 [812.        278.         -1.0631623]
 [726.        300.         49.32909  ]
 [730.        318.         61.203667 ]
 [730.        332.         74.850525 ]
 [730.        348.         77.98194  ]
 [712.        364.         52.2896   ]
 [718.        364.         57.609917 ]
 [730.        366.         59.814877 ]
 [738.        364.         56.0665   ]
 [748.        364.         49.598763 ]
 [660.        306.         23.656786 ]
 [672.        302.         34.399593 ]
 [684.        302.         33.31514  ]
 [696.        306.         28.465836 ]
 [688.        308.         32.80335  ]
 [672.        308.         31.031868 ]
 [758.        302.         23.41234  ]
 [770.        300.         25.537506 ]
 [782.        300.         23.370977 ]
 [790.        302.         10.557221 ]
 [782.        306.         19.927092 ]
 [766.        306.         24.953745 ]
 [696.        402.         47.535427 ]
 [708.        394.         60.088932 ]
 [724.        388.         65.23367  ]
 [730.        388.         65.71572  ]
 [738.        388.         64.20213  ]
 [752.        390.         56.59722  ]
 [764.        402.         42.306137 ]
 [752.        406.         54.935837 ]
 [742.        412.         59.91656  ]
 [730.        412.         61.94611  ]
 [720.        412.         62.155403 ]
 [708.        406.         58.789288 ]
 [700.        402.         48.621925 ]
 [720.        396.         59.094395 ]
 [730.        396.         60.537678 ]
 [738.        396.         57.673138 ]
 [760.        400.         43.93696  ]
 [738.        396.         58.87468  ]
 [730.        396.         60.30831  ]
 [720.        396.         60.740154 ]]"
379,380,"[[ 592.         310.         -70.39372  ]
 [ 594.         342.         -69.76045  ]
 [ 602.         368.         -69.0566   ]
 [ 610.         390.         -64.80543  ]
 [ 620.         416.         -50.723118 ]
 [ 642.         434.         -26.793583 ]
 [ 664.         444.           1.7997684]
 [ 690.         452.          26.078712 ]
 [ 726.         458.          32.112698 ]
 [ 760.         452.          13.947171 ]
 [ 782.         440.         -17.8694   ]
 [ 796.         430.         -52.23587  ]
 [ 806.         412.         -80.885086 ]
 [ 814.         382.         -97.369064 ]
 [ 818.         356.        -103.746574 ]
 [ 826.         328.        -106.55486  ]
 [ 826.         294.        -108.33687  ]
 [ 632.         276.          23.347862 ]
 [ 646.         266.          38.190887 ]
 [ 664.         258.          46.69545  ]
 [ 682.         258.          50.944614 ]
 [ 698.         262.          52.090363 ]
 [ 756.         262.          42.67936  ]
 [ 770.         258.          36.952774 ]
 [ 784.         258.          27.30569  ]
 [ 804.         262.          13.338971 ]
 [ 814.         272.          -6.1684647]
 [ 726.         294.          50.314617 ]
 [ 730.         310.          62.085857 ]
 [ 730.         328.          76.034424 ]
 [ 730.         342.          78.77381  ]
 [ 708.         356.          54.014828 ]
 [ 716.         356.          58.293125 ]
 [ 726.         360.          59.74436  ]
 [ 738.         356.          54.973835 ]
 [ 748.         356.          48.3765   ]
 [ 656.         298.          30.993689 ]
 [ 668.         294.          40.686783 ]
 [ 682.         294.          38.812107 ]
 [ 694.         298.          32.706654 ]
 [ 682.         302.          38.171406 ]
 [ 668.         302.          37.583977 ]
 [ 756.         294.          23.790792 ]
 [ 766.         290.          25.168554 ]
 [ 782.         290.          21.90956  ]
 [ 792.         294.           8.290047 ]
 [ 782.         298.          18.719915 ]
 [ 766.         298.          24.586905 ]
 [ 694.         396.          50.71052  ]
 [ 704.         386.          61.70484  ]
 [ 720.         378.          66.298256 ]
 [ 730.         382.          66.40481  ]
 [ 738.         378.          64.18189  ]
 [ 752.         386.          55.747227 ]
 [ 762.         396.          40.94626  ]
 [ 752.         400.          54.503723 ]
 [ 742.         404.          60.44116  ]
 [ 730.         408.          63.16375  ]
 [ 720.         404.          63.988384 ]
 [ 704.         400.          60.94565  ]
 [ 694.         396.          51.03579  ]
 [ 720.         394.          61.023613 ]
 [ 730.         394.          61.841103 ]
 [ 738.         394.          58.696194 ]
 [ 760.         394.          42.58113  ]
 [ 742.         394.          59.781742 ]
 [ 730.         394.          61.5122   ]
 [ 720.         394.          62.40089  ]]"
380,381,"[[ 592.         312.         -66.10455  ]
 [ 594.         342.         -64.82852  ]
 [ 602.         368.         -63.67938  ]
 [ 614.         390.         -59.2186   ]
 [ 624.         416.         -45.17791  ]
 [ 646.         434.         -22.107065 ]
 [ 664.         440.           4.7316265]
 [ 694.         448.          27.657738 ]
 [ 730.         456.          33.26963  ]
 [ 760.         448.          14.771285 ]
 [ 782.         438.         -16.412922 ]
 [ 796.         430.         -49.66274  ]
 [ 806.         408.         -77.98967  ]
 [ 814.         382.         -94.78273  ]
 [ 818.         356.        -101.51139  ]
 [ 822.         328.        -104.9311   ]
 [ 822.         294.        -107.51015  ]
 [ 632.         272.          24.113703 ]
 [ 646.         262.          37.339245 ]
 [ 664.         254.          44.812553 ]
 [ 682.         254.          48.38912  ]
 [ 698.         258.          48.93843  ]
 [ 752.         258.          38.820866 ]
 [ 766.         254.          33.26526  ]
 [ 782.         254.          23.85891  ]
 [ 800.         258.          10.411924 ]
 [ 810.         268.          -7.897029 ]
 [ 726.         288.          45.798218 ]
 [ 730.         306.          57.12711  ]
 [ 730.         320.          71.15493  ]
 [ 730.         334.          74.08696  ]
 [ 708.         352.          51.956657 ]
 [ 720.         352.          55.554356 ]
 [ 730.         352.          56.619297 ]
 [ 738.         352.          51.98724  ]
 [ 744.         350.          45.861443 ]
 [ 656.         294.          32.097675 ]
 [ 668.         290.          40.98616  ]
 [ 682.         290.          38.83085  ]
 [ 694.         294.          32.61038  ]
 [ 682.         298.          38.475346 ]
 [ 668.         298.          38.44637  ]
 [ 752.         290.          22.929022 ]
 [ 766.         288.          24.075724 ]
 [ 782.         288.          20.638039 ]
 [ 788.         290.           7.602226 ]
 [ 782.         294.          18.089233 ]
 [ 766.         294.          23.779476 ]
 [ 694.         394.          48.79685  ]
 [ 708.         382.          58.976444 ]
 [ 722.         374.          63.31137  ]
 [ 730.         374.          63.427303 ]
 [ 738.         374.          61.070137 ]
 [ 752.         382.          52.673714 ]
 [ 762.         390.          38.49802  ]
 [ 752.         394.          52.037323 ]
 [ 742.         400.          58.373608 ]
 [ 730.         400.          61.28173  ]
 [ 720.         400.          62.077503 ]
 [ 708.         396.          58.79802  ]
 [ 698.         390.          48.69294  ]
 [ 720.         386.          58.390617 ]
 [ 730.         386.          59.174854 ]
 [ 742.         386.          55.94708  ]
 [ 760.         390.          39.833775 ]
 [ 742.         386.          56.674564 ]
 [ 730.         386.          58.629616 ]
 [ 720.         386.          59.34201  ]]"
381,382,"[[ 592.         310.         -71.01279  ]
 [ 594.         338.         -67.19232  ]
 [ 602.         364.         -64.123955 ]
 [ 614.         390.         -58.37284  ]
 [ 624.         412.         -43.787987 ]
 [ 646.         430.         -20.64955  ]
 [ 664.         438.           5.7977433]
 [ 694.         444.          27.85295  ]
 [ 730.         448.          32.305843 ]
 [ 762.         440.          13.638692 ]
 [ 782.         434.         -17.642054 ]
 [ 796.         426.         -51.48679  ]
 [ 806.         408.         -80.44993  ]
 [ 814.         382.         -97.79887  ]
 [ 818.         356.        -105.62482  ]
 [ 822.         328.        -110.66993  ]
 [ 822.         294.        -115.62152  ]
 [ 632.         268.          13.36001  ]
 [ 650.         258.          25.388874 ]
 [ 668.         254.          32.61856  ]
 [ 682.         254.          36.55681  ]
 [ 698.         254.          37.864037 ]
 [ 752.         254.          27.190088 ]
 [ 766.         250.          20.5621   ]
 [ 782.         250.          10.381634 ]
 [ 800.         254.          -3.246251 ]
 [ 810.         266.         -20.772818 ]
 [ 726.         284.          38.82585  ]
 [ 730.         298.          52.497738 ]
 [ 730.         312.          67.59713  ]
 [ 730.         328.          71.88371  ]
 [ 708.         346.          49.094944 ]
 [ 720.         346.          53.33968  ]
 [ 730.         350.          54.42211  ]
 [ 738.         346.          49.345093 ]
 [ 744.         346.          42.304794 ]
 [ 656.         290.          22.240088 ]
 [ 668.         288.          30.358847 ]
 [ 682.         284.          28.048384 ]
 [ 694.         290.          22.388958 ]
 [ 682.         294.          28.421831 ]
 [ 668.         294.          28.534962 ]
 [ 752.         288.          12.154623 ]
 [ 766.         284.          12.465667 ]
 [ 782.         284.           8.978247 ]
 [ 788.         288.          -3.5279224]
 [ 778.         290.           7.1290474]
 [ 766.         290.          12.970234 ]
 [ 694.         386.          48.009937 ]
 [ 704.         374.          57.887848 ]
 [ 722.         368.          61.33456  ]
 [ 730.         372.          61.175205 ]
 [ 738.         368.          58.60805  ]
 [ 752.         374.          50.252163 ]
 [ 762.         386.          35.67099  ]
 [ 752.         390.          50.46568  ]
 [ 742.         394.          57.558544 ]
 [ 730.         394.          60.881393 ]
 [ 720.         394.          61.78693  ]
 [ 708.         390.          58.30052  ]
 [ 698.         386.          47.93127  ]
 [ 720.         378.          56.898724 ]
 [ 730.         378.          57.334335 ]
 [ 738.         378.          53.80717  ]
 [ 760.         382.          37.152008 ]
 [ 742.         378.          54.823837 ]
 [ 730.         378.          57.127872 ]
 [ 720.         378.          58.048687 ]]"
